cate1_a,col_nm_a,freq,mean_link,score
교육, 4_교원보수 ,2,0.6599999999999999,1.3199999999999998
교육, 5_소모품비 ,2,0.655,1.31
보건,남자,3,0.43333333333333335,1.3
공공행정,주말운영종료시간,3,0.43333333333333335,1.3
교육, 5_유형고정자산감가상각비 ,2,0.6499999999999999,1.2999999999999998
교육, 4_직원보수 ,2,0.645,1.29
교육, 3_보수 ,2,0.645,1.29
보건,월,3,0.42333333333333334,1.27
보건,1인가구,4,0.3125,1.25
교육, 4_학생경비 ,2,0.605,1.21
교육, 3_연구학생경비 ,2,0.605,1.21
교육,게시글 번호,3,0.39666666666666667,1.19
보건,게시판번호,3,0.38666666666666666,1.16
교육,교육청,2,0.575,1.15
보건,일자,3,0.3833333333333333,1.15
공공행정,지원인원,3,0.3766666666666667,1.1300000000000001
공공행정,위탁급식,3,0.3766666666666667,1.1300000000000001
교육,2_기본금(2072),2,0.53,1.06
교육,폐교 년도,2,0.53,1.06
공공행정,가이드순서(SEQ),3,0.35000000000000003,1.05
공공행정,행정동명,2,0.5249999999999999,1.0499999999999998
공공행정,날짜,2,0.51,1.02
교육,등록연도,2,0.505,1.01
공공행정,특이사항순번,3,0.33666666666666667,1.01
보건,관리행정지역,1,1.0,1.0
교육,0_기초의현금(2215),1,1.0,1.0
교육,3_운영차익(2084),1,1.0,1.0
보건,운영형태,1,1.0,1.0
보건,출력물명,1,1.0,1.0
보건,종사자수(현원),2,0.5,1.0
보건,흡연시설 설치주체,1,1.0,1.0
교육,교육자료명,1,1.0,1.0
교육,최종정답 공개 종료 일시,1,1.0,1.0
교육,채용희망직종항목,1,1.0,1.0
교육,정답가(안) 공개 종료 일시,1,1.0,1.0
보건,흡연시설 구분,1,1.0,1.0
교육,학생수 합계,1,1.0,1.0
교육,학교별순세계잉여금_세입결산금액,1,1.0,1.0
보건,전문의,2,0.5,1.0
공공행정,2020년,2,0.5,1.0
보건,2022년8월,2,0.5,1.0
교육,3_유동부채(2054),1,1.0,1.0
교육,4_예금이자수입,1,1.0,1.0
교육,3_미사용차기이월자금,1,1.0,1.0
교육,3_미사용전기이월자금,1,1.0,1.0
교육,제목,1,1.0,1.0
교육,3_운영외수익(2045),1,1.0,1.0
교육,생성일시,1,1.0,1.0
교육,정답가(안) 공개 시작 일시,1,1.0,1.0
교육,생정일시,1,1.0,1.0
보건,컬럼설명,3,0.33,0.99
교육,2022년,3,0.33,0.99
교육,학교별순세계잉여금_세출결산금액,1,0.98,0.98
교육,3_유동자산(2003),1,0.95,0.95
교육,과제명,1,0.95,0.95
공공행정,주차면수,3,0.3133333333333333,0.94
교육,학교기업명,1,0.93,0.93
보건,기준날짜,1,0.89,0.89
공공행정,구매월,1,0.86,0.86
교육,기준일,2,0.41500000000000004,0.8300000000000001
보건,3월,2,0.41500000000000004,0.8300000000000001
교육,등록일,1,0.83,0.83
공공행정,집단급식소식품판매업,2,0.4,0.8
공공행정,식품제조가공업,2,0.4,0.8
공공행정,코드명,1,0.78,0.78
교육,표출 어휘,1,0.77,0.77
교육,교양과목,1,0.76,0.76
공공행정,데이터기준일자,2,0.365,0.73
교육,정원,2,0.365,0.73
보건,시험명,1,0.72,0.72
교육, 3_관리운영비 ,1,0.7,0.7
교육, 2_운영비용 ,1,0.7,0.7
교육, 4_기부금수입 ,1,0.7,0.7
교육, 3_전입및기부수입 ,1,0.7,0.7
교육,바로가기 주소(URL),2,0.35,0.7
교육, 2_당기운영차액 ,1,0.7,0.7
교육, 2_운영수익 ,1,0.7,0.7
공공행정,시작일자,1,0.7,0.7
교육, 법인명 ,1,0.68,0.68
공공행정,기타식품판매,2,0.33,0.66
공공행정,단란주점,2,0.33,0.66
공공행정,유흥주점,2,0.33,0.66
공공행정,최대탑승인원(실습생),2,0.33,0.66
보건,컬럼ID,2,0.32999999999999996,0.6599999999999999
공공행정, 생성시간,1,0.65,0.65
교육,폐교년도,2,0.325,0.65
보건,기 타,2,0.32,0.64
공공행정,식품자판기,2,0.32,0.64
교육,순세계잉여금액,1,0.64,0.64
공공행정,한국인 아내 외국인 남편 혼인,2,0.315,0.63
공공행정,학교명,1,0.62,0.62
공공행정,회원등급명,1,0.6,0.6
보건,3인가구,1,0.57,0.57
공공행정,카테고리 수,1,0.57,0.57
공공행정,팝업타입,1,0.57,0.57
보건,2017년_요양병원,1,0.53,0.53
교육,1_현금유입액(2002),1,0.53,0.53
공공행정,접수일,1,0.52,0.52
공공행정,2019년,1,0.5,0.5
보건,2022년4월,1,0.5,0.5
보건,2022년11월,1,0.5,0.5
보건,2017년_병원,1,0.5,0.5
공공행정,경영평가 종합등급(절대),1,0.5,0.5
교육,1인당 대여 가능 장난감 수,1,0.5,0.5
공공행정,최초등록시점,1,0.5,0.5
공공행정,경영평가 종합등급(상대),1,0.5,0.5
보건,6월미만(명),1,0.5,0.5
공공행정,학교생활기록부(초중고),1,0.5,0.5
교육,월,1,0.5,0.5
교육,1_기말의현금(2218),1,0.49,0.49
공공행정,규격,1,0.47,0.47
교육,과목명,1,0.47,0.47
교육,게시물번호,1,0.46,0.46
교육,기관_학교명,1,0.46,0.46
보건,이용자수(현원),1,0.41,0.41
공공행정,설치위치,1,0.41,0.41
교육,컴퓨터수,1,0.4,0.4
공공행정,시설종류,1,0.4,0.4
공공행정,주말운영요일,1,0.4,0.4
교육,졸업자수_남,1,0.4,0.4
교육,대분류명칭,1,0.4,0.4
공공행정,평일운영요일,1,0.4,0.4
교육,입학자수_남,1,0.4,0.4
교육,업무소요시간,1,0.4,0.4
보건,여자,1,0.4,0.4
보건,세탁업,1,0.39,0.39
보건,colId,1,0.37,0.37
교육,지원사유 기타,1,0.36,0.36
보건,합계,1,0.36,0.36
보건,의료기관전화번호,1,0.35,0.35
교육,유치원명,1,0.35,0.35
교육,점수 제도 카테고리 코드,1,0.34,0.34
교육,주소,1,0.34,0.34
공공행정,가로등 주,1,0.33,0.33
공공행정,지정면적(천제곱미터),1,0.33,0.33
