학교명_norm,시도_norm,학교급_norm,설립,남여공학,도로명주소,ai_flag,지정연도,유형,sw_flag,지정연도_sw,키,몸무게,혈당식전(mgdl),총콜레스테롤(mgdl),수축기,이완기,cn_학급수,cn_학생수,학교명_stem_comp,컴퓨터실습실수,컴퓨터수,운영체제,개월수,수강학생수,학교명_stem_closed,폐교연도,활용 구분,토지면적(단위 제곱미터),건물면적(단위 제곱미터),ai_sw_both
흥도초등학교,경기,초,공립,,경기도 고양시 덕양구 도래울1로 83 (도내동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
목암초등학교,경기,초,공립,,경기도 고양시 덕양구 푸른마을로 63 . 목암초등학교 (고양동. 목암초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
한뫼초등학교,경기,초,공립,,경기도 고양시 일산서구 고양대로 629 (일산동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
토당초등학교,경기,초,공립,,경기도 고양시 덕양구 행신로 90 (토당동. 토당초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
가좌초등학교,경기,초,공립,,경기도 고양시 일산서구 가좌2로 31 (가좌동.가좌초등학교),0,,,1,2016.0,,,,,,,,,,,,,,,,,,,,0
다솜초등학교,경기,초,공립,,경기도 고양시 일산동구 숲속마을로 139 (풍동. 다솜초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
풍동초등학교,경기,초,공립,,경기도 고양시 일산동구 숲속마을로 14-43 (풍동. 풍동초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
모당초등학교,경기,초,공립,,경기도 고양시 일산동구 하늘마을로 144 (중산동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
하늘초등학교,경기,초,공립,,경기도 고양시 일산동구 하늘마을1로 46 . 하늘초등학교 (중산동.하늘초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
서정초등학교,경기,초,공립,,경기도 고양시 덕양구 소원로 251 (행신동.서정초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
덕이중학교,경기,중,공립,남여공학,경기도 고양시 일산서구 하이파크3로 122 (덕이동. 덕이중학교),0,,,1,2016.0,,,,,,,,,,,,,,,,,,,,0
일산양일중학교,경기,중,공립,남여공학,경기도 고양시 일산동구 위시티3로 47 . 일산양일중학교 (식사동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
도래울중학교,경기,중,공립,남여공학,경기도 고양시 덕양구 도래울로 57 (도내동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
고양중학교,경기,중,공립,남여공학,경기도 고양시 덕양구 동세로 82 (삼송동),0,,,1,2020.0,,,,,,,,,,,,,,,,,,,,0
능곡중학교,경기,중,공립,남여공학,경기도 고양시 덕양구 행당로11번길 48 (토당동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
대송중학교,경기,중,공립,남여공학,경기도 고양시 일산서구 송포로 49 (대화동),1,2023.0,교육활동 모델교,1,2015.0,,,,,,,,,,,,,,,,,,,,1
대화중학교,경기,중,공립,남여공학,경기도 고양시 일산서구 고양대로 348 (대화동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
덕양중학교,경기,중,공립,남여공학,경기도 고양시 덕양구 중앙로176번길 18-29 (화전동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
무원중학교,경기,중,공립,남여공학,경기도 고양시 덕양구 무원로 45 (행신동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
발산중학교,경기,중,공립,남여공학,경기도 고양시 일산서구 고봉로 99 (주엽동.발산중학교),0,,,1,2016.0,,,,,,,,,,,,,,,,,,,,0
백마중학교,경기,중,공립,남여공학,경기도 고양시 일산동구 강촌로 189 (마두동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
