col_id,col_nm,table_id,cate1,cate2,num_cat_flag,pk_ratio,distinct_cnt,null_ratio,same_ratio,rec_cnt,column_cnt,categorical_cnt,numerical_cnt,avg_dom_col,avg_val_col,num_dom_eqn_col,num_dom_inter_col,num_val_eqn_col,num_val_inter_col,inner_tbl_cnt,outer_tbl_cnt,rep_ratio_tbl,common_ratio_tbl,col_table_cnt,inner_col_cnt,pk_bucket,null_bucket,col_type,rec_bucket,col_cnt_bucket,domain_spread,dom_sim_bucket,val_sim_bucket
8550,생성일,818,보건,보건의료,1,0.88,14,0.0,1.14,16,8,5,3,0.3548931383577052,0.3459645669291338,0.0,120.0,0.0,122.0,727.0,,,,81.0,127.0,고PK(0.7-0.9),완전(0%),범주형,소(≤100),표준(6-10),대공유(21+),높은유사(0.3-0.6),높은값유사
8551,첨부파일수,818,보건,보건의료,0,0.19,3,0.0,5.33,16,8,5,3,0.5445362718089991,0.5519398530762167,18.0,2275.0,0.0,2935.0,727.0,,,,604.0,3267.0,저PK(0-0.3),완전(0%),수치형,소(≤100),표준(6-10),대공유(21+),높은유사(0.3-0.6),높은값유사
8552,구분,819,보건,보건의료,1,1.0,6,0.0,1.0,6,14,1,13,0.2857142857142857,0.2857142857142857,0.0,7.0,0.0,7.0,670.0,,,,6.0,7.0,최고PK(0.9+),완전(0%),범주형,소(≤100),풍부(11-20),중공유(6-20),중유사(0.1-0.3),중값유사
8553,1월,819,보건,보건의료,0,0.67,4,0.0,1.5,6,14,1,13,0.3319807883405101,0.4843215192668654,0.0,2627.0,0.0,2924.0,670.0,,,,502.0,3019.0,중PK(0.3-0.7),완전(0%),수치형,소(≤100),풍부(11-20),대공유(21+),높은유사(0.3-0.6),높은값유사
8554,2월,819,보건,보건의료,0,0.67,4,0.0,1.5,6,14,1,13,0.3546726098985552,0.4805307920893534,0.0,2843.0,0.0,3152.0,670.0,,,,608.0,3253.0,중PK(0.3-0.7),완전(0%),수치형,소(≤100),풍부(11-20),대공유(21+),높은유사(0.3-0.6),높은값유사
8555,3월,819,보건,보건의료,0,0.5,3,0.0,2.0,6,14,1,13,0.3848526387936943,0.5957847840986977,0.0,2520.0,0.0,2818.0,670.0,,,,466.0,2918.0,중PK(0.3-0.7),완전(0%),수치형,소(≤100),풍부(11-20),대공유(21+),높은유사(0.3-0.6),높은값유사
463,평가년도,49,공공행정,일반행정,0,0.0,16,0.0,1668.75,26700,9,3,6,0.4017094017094017,0.0381359838663209,3.0,184.0,0.0,293.0,767.0,,,,223.0,351.0,저PK(0-0.3),완전(0%),수치형,초대(10k+),표준(6-10),대공유(21+),높은유사(0.3-0.6),낮은값유사
3194,3_기타영업외비용(1053),328,교육,고등교육,0,0.38,73,0.0,2.63,192,105,9,96,0.0669761500119763,0.3344059348690905,0.0,3021.0,0.0,3453.0,782.0,,,,678.0,3603.0,중PK(0.3-0.7),완전(0%),수치형,중(101-1k),초풍부(21+),대공유(21+),낮은유사(0-0.1),높은값유사
8556,4월,819,보건,보건의료,0,0.67,4,0.0,1.5,6,14,1,13,0.3496742165684145,0.4794704726445341,0.0,2799.0,0.0,3102.0,670.0,,,,594.0,3223.0,중PK(0.3-0.7),완전(0%),수치형,소(≤100),풍부(11-20),대공유(21+),높은유사(0.3-0.6),높은값유사
8557,5월,819,보건,보건의료,0,0.83,5,0.0,1.2,6,14,1,13,0.3267009374055035,0.3939623021872795,0.0,2896.0,0.0,3206.0,670.0,,,,619.0,3307.0,고PK(0.7-0.9),완전(0%),수치형,소(≤100),풍부(11-20),대공유(21+),높은유사(0.3-0.6),높은값유사
8558,6월,819,보건,보건의료,0,0.67,4,0.0,1.5,6,14,1,13,0.33798751950078,0.4730629225169007,0.0,2804.0,0.0,3106.0,670.0,,,,589.0,3205.0,중PK(0.3-0.7),완전(0%),수치형,소(≤100),풍부(11-20),대공유(21+),높은유사(0.3-0.6),높은값유사
8559,7월,819,보건,보건의료,0,1.0,6,0.0,1.0,6,14,1,13,0.4922978177150192,0.4922978177150192,0.0,1289.0,0.0,1291.0,670.0,,,,582.0,1558.0,최고PK(0.9+),완전(0%),수치형,소(≤100),풍부(11-20),대공유(21+),높은유사(0.3-0.6),높은값유사
8564,12월,819,보건,보건의료,0,0.83,5,0.0,1.2,6,14,1,13,0.3399086757990868,0.4057838660578386,0.0,2864.0,0.0,3167.0,670.0,,,,612.0,3285.0,고PK(0.7-0.9),완전(0%),수치형,소(≤100),풍부(11-20),대공유(21+),높은유사(0.3-0.6),높은값유사
8566,순번,820,보건,보건의료,0,1.0,3,0.0,1.0,3,7,4,3,0.695338512763596,0.695338512763596,20.0,933.0,5.0,987.0,584.0,,,,572.0,1802.0,최고PK(0.9+),완전(0%),수치형,소(≤100),표준(6-10),대공유(21+),최고유사(0.6+),최고값유사
8567,업체명,820,보건,보건의료,1,1.0,3,0.0,1.0,3,7,4,3,,,,,,,584.0,,,,,,최고PK(0.9+),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
8568,주소,820,보건,보건의료,1,1.0,3,0.0,1.0,3,7,4,3,,,,,,,584.0,,,,,,최고PK(0.9+),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
1161,연락처,139,공공행정,일반행정,1,0.04,1,0.0,22.0,24,8,6,2,,,,,,,266.0,,,,,,저PK(0-0.3),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
464,지표정의및세부설명,49,공공행정,일반행정,1,0.05,1280,0.0,20.82,26700,9,3,6,0.000810936894145,0.0135885058372652,0.0,2252.0,0.0,2262.0,767.0,,,,224.0,2579.0,저PK(0-0.3),완전(0%),범주형,초대(10k+),표준(6-10),대공유(21+),낮은유사(0-0.1),낮은값유사
465,데이터기준일 ,49,공공행정,일반행정,1,0.0,1,0.0,26560.0,26700,9,3,6,1.0,0.0018027465667915,4.0,0.0,0.0,14.0,767.0,,,,15.0,15.0,저PK(0-0.3),완전(0%),범주형,초대(10k+),표준(6-10),중공유(6-20),최고유사(0.6+),낮은값유사
8569,전화번호,820,보건,보건의료,1,1.0,3,0.0,1.0,3,7,4,3,,,,,,,584.0,,,,,,최고PK(0.9+),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
8570,위도,820,보건,보건의료,0,1.0,3,0.0,1.0,3,7,4,3,,,,,,,584.0,,,,,,최고PK(0.9+),완전(0%),수치형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
8571,경도,820,보건,보건의료,0,1.0,3,0.0,1.0,3,7,4,3,,,,,,,584.0,,,,,,최고PK(0.9+),완전(0%),수치형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
8572,데이터기준일,820,보건,보건의료,1,0.33,1,0.0,3.0,3,7,4,3,1.0,0.7416666666666667,0.0,0.0,0.0,18.0,584.0,,,,28.0,40.0,중PK(0.3-0.7),완전(0%),범주형,소(≤100),표준(6-10),대공유(21+),최고유사(0.6+),최고값유사
8573,간행물 명,821,보건,보건의료,1,1.0,29,0.0,1.0,29,7,5,2,,,,,,,239.0,,,,,,최고PK(0.9+),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
8574,간행물 내용,821,보건,보건의료,1,1.0,29,0.0,1.0,29,7,5,2,,,,,,,239.0,,,,,,최고PK(0.9+),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
