support,itemsets_str
0.1264227642276423,"cate1=교육, col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.12591463414634146,"cate2=고등교육, col_type=수치형, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
0.12591463414634146,"cate1=교육, cate2=고등교육, col_type=수치형, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
0.12591463414634146,"cate1=교육, domain_spread=대공유(21+), val_sim_bucket=높은값유사"
0.12560975609756098,"cate1=교육, cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.12560975609756098,"cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.12540650406504064,"cate1=공공행정, rec_bucket=소(≤100)"
0.12540650406504064,"cate1=공공행정, cate2=일반행정, rec_bucket=소(≤100)"
0.12540650406504064,"cate2=일반행정, rec_bucket=소(≤100)"
0.12469512195121951,"col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.12449186991869919,"col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.12439024390243902,"cate2=고등교육, col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1)"
0.12439024390243902,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1)"
0.1241869918699187,"pk_bucket=저PK(0-0.3), rec_bucket=소(≤100)"
0.12408536585365854,"col_cnt_bucket=표준(6-10), dom_sim_bucket=낮은유사(0-0.1), val_sim_bucket=낮은값유사"
0.12367886178861788,"col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.12357723577235773,"col_type=수치형, domain_spread=대공유(21+), val_sim_bucket=낮은값유사"
0.12337398373983739,"cate1=교육, col_type=수치형, pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
